,Unnamed: 0,Type Of Traveller,Seat Type,Route,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,reviews,stars,date,country,verified,Sentiment,Analysis
0,0,Solo Leisure,Business Class,Riga to London,4.0,5.0,5.0,4.0,5,1,crew amazing attentive nothing missed definitely choose ba future also praise food choice sufficient delicious short business flight,5,2024-08-07,United Kingdom,True,0.8941,Positive
1,1,Solo Leisure,Economy Class,Rome to Philadelphia via London,3.0,3.0,2.7078152753108347,1.0,1,0,flew internationally first time life delay end missed connecting flight destination asked help ahead time told run next gate needle say missed flight three british airway employee customer service desk next line heathrow two went break despite evergrowing line due multiple people missing flight airline similar circumstance additional minute waiting assistance given receipt boarding pas caused issue next connecting flight barcelona rome coordinated british airway outbound trip return trip british airway flight ended landing minute late landed connecting flight boardingdownstairs exit gate denied entry connecting flight minute past time started board delay british airway boarding didnt close hour didnt leave another hour half later according notification phone instead helped denied entry missed beginning boarding minute due connecting flight delay waited customer service line heathrow reschedule flight already boarding pas hand still havent made final destination recommend heathrow airport either british airline employee came saw upset denied board return flight asked happened solution problem fly british airway future thanks lot lady already figured given meal voucher bus voucher hotel voucher due many inconvenience flown airline ever life issue thankfully checked bag speak effect,10,2024-08-05,United States,False,-0.9127,Negative
2,2,Business,Economy Class,London to Bologna,3.0,1.0,1.0,1.0,1,0,ba subsequent delay postponed departure time initial passenger gathering already assigned gate crew ready board aircraft ready outside decided cancel flight reason provided intercom absence pilot passenger told hotel could booked everyone note therell follow rage mounted amongst u brit done without response others reason insist till crew kept saying rebooking possible apart automated one expected u cross europe get destination hotel booking power either well liar hour pushing raging one person came hotel booking roughly u kept fighting liar also another reason one angel told u way rebooked one took apart suggested way worked meant breaking rule made mess sort hour sleep hour managed get back im committed avoid ba much shall able clerk told impossible working cut save money company run pretty bad financial water hub heathrow almost presence passenger checking bag bag drop spending hour phone expense ba mess frequently lately pity seeing decay time change leadership team ceo,1,2024-08-03,Italy,True,-0.9732,Negative
3,3,Business,Business Class,Sydney to London,1.0,3.0,3.0,1.0,1,0,embarrassing word british attached airline service substandard every way possible exception food couple stand staff accept delay technical problem happen handled opinion responsible left everyone plane hour midnight disembarked saying hotel available staff unload luggage plane inevitable people young child elderly left fend several time mentioned dont worry duty care really none singapore london flight wifi enabled cram business class seat across width comfort service reflect price well leading airline avoid cost,1,2024-08-02,Australia,False,-0.1336,Negative
4,4,Solo Leisure,Business Class,Dublin to London Heathrow,3.0,5.0,4.0,5.0,4,1,flight cancelled due bad weather ba contacted email immediately provided alternative booking well link suggestion different flight wasnt convenient clicked link assisted promptly service rep rebooked sent detail within minute great customer service bawell done,1,2024-08-02,United Kingdom,True,0.1779,Neutral
5,5,Couple Leisure,Economy Class,London to Los Angeles via Paris CDG,1.0,1.0,2.7078152753108347,1.0,1,0,british airway oversold lhr lax flight booked month advance paid full actually paid extra fly airbus tried check online day flight got unknown system error couldnt check arrived lhr hour early none ba kiosk worked manual check understaffed ba staff unhelpful insane queue time lot frustrated passenger line denied boarding gate flight oversold explanation apology constantly ignored ba staff dont patience listen situation helpful finally gate manager book alternate flight paris cdg supposedly connect air france flight get cdg told air france flight full idea ba manager bumped af flight thats also full thats insult injury bumped twice went ba desk cdg help told u call ba couldnt even provide phone number told u look online top luggage lost somewhere ba af paris cdg im american citizen speak perfect english feel completely humiliated treated like second class citizen multiple ba staff whole ordeal mostly ignore bounce one counter another without even trying listen problem zero accountability never ever fly ba absolute worst travel experience life,10,2024-07-30,United States,True,-0.9591,Negative
6,6,Business,Business Class,London Heathrow to Doha,5.0,1.0,3.0,1.0,1,0,travelled london doha july th physically check ba business ongoing connection doha flight code share qatar paid flight qatar paid seat online could sit like sit got check discovered reseated elsewhere cabin told policy basically shut discovered ba recognise qatar frequent flyer rule despite sharing avios point im gold card holder qatar affords extra kilo baggage ba tried tell pay arguing eventually accepted lounge packed staff le helpful tried get answer seat reassignment told would get money back chance dont even try flight boarded bus journey took minute get terminal aircraft guessing another terminal took long get board u terminal rather drag u airport finally got onto plane ba staff friendly wonder ranked th realise privilege allowed step onto ba flight departed minute late many traveller connection meant either going miss connection would manage make connection luggage wouldnt would ba flight crew help board figure connection eventually came tell haughty attitude landing minute earlier give full minute make connection landing early mean getting gate earlier usually take least minute landing gate another jetway attached lucky sitting near door straight minute disembark want helpful dont say stupid thing people frequent traveller turned sitting near door run plane qatar assist run gate way c gate make connection short distance year old luggage make many others fortunate didnt make connection put page flight entertainment connection going provide information public information look line aircraft access wifi satellite communication fail understand information captured displayed complained ba got wishy washy email number excuse mention seat refund got paltry voucher im supposed use another ba flight kidding sure want experience however recently discovered frequently travelled destination really serviced ba want fly reasonable hour day go europe avoid expensive consider one worst airline ever flown getting worse minute fly absolutely good luck,1,2024-07-30,United Kingdom,True,0.9642,Positive
7,7,Family Leisure,Economy Class,Toulouse to London Heathrow,1.0,1.0,1.0,1.0,1,0,dropping luggage luggage drop toulouse airport travel pram confiscated forced take sleeping year old arm traveling alone told staff outsourced british airway check passenger yoyo pram accepted board corrected yoyo type pram contested told yoyo pram would allowed insisted keep sleeping yearold pram would permitted board flight london happened family forced go oversized baggage area airport clarify pram silver cross jet stroller pushchair specifically purchased conform british airway specification required carry toddler min security another min waiting board plane allowed early boarding moved seat stand side staff option sit heathrow required carry toddler approx min go passport check luggage claim mentioned previously traveling alone child support despite purchasing expensive pram fit requirement coming airport prepared pram im sure agree unacceptable illegal force passenger purchase specific brand product order able keep child travel pram addition plane installed kid fly safe care child airplane safety harness son cabin crew proceeded tell allowed go website show incorrect fact within right landing crew gall tell put harness son mandatory asked mandatory bring harness british airway discriminatory airline parent traveling child need change advice dont treat mom traveling alone sleeping toddler like rubbish dont confiscate travel pram within regulation forcing worst travel experience possible,3,2024-07-28,United Kingdom,True,0.3699,Neutral
8,8,Couple Leisure,Economy Class,San Diego to London,1.0,1.0,1.0,1.0,1,0,cant fly first class dont fly british airway uncomfortable seat cant even get seat person front seat reclined doesnt need recline seat cant pick anything floor flight cant bend touch floor isnt enough space long leg dont think going comfortable soon person front put chair back knee crushed terrible food terrible plane terrible airhostesses terrible flight unfortunately fly back home,1,2024-07-19,United States,True,-0.9678,Negative
9,9,Family Leisure,Business Class,Singapore to London,3.0,2.0,3.0,5.0,2,1,singapore heathrow business class premium economy plus experience economy class sized toilet badly designed coffin shaped business class pod experience substandard business class experience business class pod storage small drawer foot pod privacy screen opaque plastic sheet kept awake neighbour screen light pod seat made coffin shaped bed cold hard plastic seat mould unpleasant surprise turn sleep choice neighbour step calfheight footrest hopefully brushing foot step neighbour feetfootrest footrest heavenforbid try lever comfortable position slightest pressure cause footrest collapse floor level position aisle seat open aisle kiss goodbye privacy view passenger crew lean serve neighbour food talk neighbour privacy screen,1,2024-07-16,New Zealand,False,-0.2732,Negative
